feature,pearson_with_delay_minutes,pearson_with_delay_flag,mutual_information_class,f_score_class,missing_rate_train,abs_numeric_correlation_rank
carrier_delay_rate_prev_3h,0.20973410263384482,0.2857619251858056,0.05518032232512038,22229.804276657924,2.8e-05,2.0
origin_delay_rate_prev_3h,0.22108830373578386,0.2685256392379083,0.052852746378256654,19426.76503058579,6e-05,1.0
carrier_avg_dep_delay_prev_hour,0.16363916121181896,0.1973525505010063,0.04683751947055437,10131.446854709615,2.8e-05,4.0
origin_avg_dep_delay_prev_hour,0.2045727957683115,0.21194729492500528,0.04319683412801312,11758.374050171738,6e-05,3.0
origin_visibility_m,-0.0333459858464148,-0.030622733416358263,0.02632520206874056,234.65760665979747,6e-05,17.0
origin_hourly_avg_dep_delay_prior,0.14855304922250026,0.1960751841531184,0.023277683678548877,9976.49329373533,0.001564,5.0
scheduled_departure_hour_local,0.12484708953876483,0.1911958941228693,0.02324347059185583,9485.650579397712,0.0,6.0
peak_hour,-0.09960516513513985,-0.15624088208793444,0.023087442634702304,6255.457800737614,0.0,9.0
origin_ceiling_m,-0.046951808570957786,-0.05156069986593948,0.02297618688509906,659.1773802663253,0.002828,15.0
scheduled_arrival_hour_local,0.12484708953876483,0.1911958941228693,0.02267710554610436,9485.650579397712,0.0,6.0
origin_humidity_pct,0.0004887514603949439,-0.0004232385445404257,0.015274393693509136,0.04478236615632988,0.0,26.0
log1p_origin_humidity_pct,0.02978732286914585,0.014141371658672557,0.013646370507957029,50.004197900360495,0.0,18.0
route_avg_dep_delay_prev_hour,0.11525887416287071,0.11310673735690063,0.01207061705021073,3243.578392553425,0.001808,7.0
carrier_route_avg_dep_delay_prior,0.10243727137830545,0.11552308650690972,0.009721322430020995,3378.547651311557,0.00258,8.0
month,0.06818691339272677,0.08258837020269319,0.009323438943383833,1716.9068263628624,0.0,12.0
airport_carrier_avg_dep_delay_prior,0.0986721924238952,0.11311472463931267,0.008264820688164143,3239.863492157771,0.000164,10.0
is_weekend,0.012220287258842635,0.016064240381629343,0.007331711084590076,64.53109152187079,0.0,23.0
day_of_week,0.014716840453603403,0.0196834213881166,0.006413938793222718,96.8960356282172,0.0,22.0
origin_temp_c,0.053529540067309984,0.07366794433412169,0.006379065521439742,1364.133759229776,0.0,14.0
Distance,-0.002112032153013958,-0.009411416487113609,0.004810276410468939,22.14547445411148,0.0,25.0
season,,,0.003725797567522282,8.701418226281048,0.0,
Reporting_Airline,,,0.0031363331747098367,93.71239591393943,0.0,
Origin,,,0.0029147966249527917,575.2042307494355,0.0,
origin_wind_speed_mps,0.04072088488337609,0.055895701569957816,0.002739479657763333,783.5052921220191,0.000364,16.0
Dest,,,0.0021080127204952284,6.510335034994977,0.0,
log1p_origin_precip_mm,0.0751114715504062,0.07260177519853678,0.0021043240323483925,1324.726555663858,0.0,11.0
origin_precip_mm,0.06775096727013706,0.06005876471877069,0.001177349727129462,905.0210516840455,0.0,13.0
log1p_is_holiday,0.02141956675234563,0.027144839860673113,0.0008470069420609683,184.34494223756167,0.0,19.0
origin_hourly_congestion_proxy_prior,0.018990544200207394,0.028006336144278696,0.0007303471901969338,196.24106998465587,0.0,21.0
is_holiday,0.02141956675234555,0.02714483986067279,0.00029984583543263277,184.34494223769065,0.0,20.0
precip_peak_interaction,0.0032225555413827995,0.000920772368070949,0.0001245422173379307,0.21195392250657694,0.0,24.0
log1p_precip_peak_interaction,-0.00029386388265177855,-0.004821165305193433,6.384453520746902e-05,5.81099730643026,0.0,27.0
